name_with_owner,stars,created_at,age_days,age_years,updated_at,days_since_update,primary_language,merged_pull_requests,releases_total,issues_open,issues_closed,issues_total,issues_closed_ratio
codecrafters-io/build-your-own-x,472510,2018-05-09T12:03:18Z,2857,7.822,2026-02-21T09:34:54Z,12,Markdown,155,0,235,653,888,0.73536
sindresorhus/awesome,442824,2014-07-11T13:42:37Z,4255,11.65,2026-03-04T16:56:28Z,1,,694,0,16,349,365,0.956164
freeCodeCamp/freeCodeCamp,437808,2014-12-24T17:49:19Z,4089,11.195,2026-03-05T17:06:42Z,0,TypeScript,27770,0,177,20977,21154,0.991633
public-apis/public-apis,404465,2016-03-20T23:49:42Z,3636,9.955,2026-02-19T15:14:35Z,14,Python,1872,0,6,832,838,0.99284
EbookFoundation/free-programming-books,383627,2013-10-11T06:50:37Z,4528,12.397,2026-02-28T11:02:16Z,5,Python,7328,0,36,1227,1263,0.971496
kamranahmedse/developer-roadmap,350234,2017-03-15T13:45:52Z,3277,8.972,2026-03-05T11:14:17Z,0,TypeScript,4073,1,31,3054,3085,0.989951
jwasham/coding-interview-university,337610,2016-06-06T02:34:12Z,3559,9.744,2025-08-28T14:42:47Z,189,,415,0,71,454,525,0.864762
donnemartin/system-design-primer,337372,2017-02-26T16:15:28Z,3294,9.018,2025-11-03T12:06:22Z,122,Python,203,0,250,110,360,0.305556
vinta/awesome-python,285713,2014-06-27T21:00:06Z,4268,11.685,2026-03-04T17:17:10Z,1,Python,641,0,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,277420,2015-06-01T02:33:17Z,3930,10.76,2026-02-27T19:02:23Z,5,,2395,1,0,807,807,1.0
996icu/996.ICU,275652,2019-03-26T07:31:14Z,2536,6.943,2025-08-22T06:01:29Z,195,,1072,0,0,0,0,0.0
openclaw/openclaw,265007,2025-11-24T10:16:47Z,101,0.277,2026-03-05T18:01:55Z,0,TypeScript,2721,59,5301,10002,15303,0.653597
practical-tutorials/project-based-learning,260254,2017-04-12T05:07:46Z,3249,8.895,2024-08-15T05:33:54Z,567,,182,0,145,82,227,0.361233
facebook/react,243635,2013-05-24T16:15:54Z,4668,12.78,2026-03-05T15:52:24Z,0,JavaScript,12774,118,809,13575,14384,0.943757
torvalds/linux,221009,2011-09-04T22:48:12Z,5295,14.497,2026-03-05T02:29:34Z,0,C,0,0,0,0,0,0.0
TheAlgorithms/Python,218363,2016-07-16T09:44:01Z,3519,9.634,2026-03-02T18:33:49Z,2,Python,3046,0,162,1540,1702,0.904818
vuejs/vue,209962,2013-07-29T03:24:51Z,4602,12.6,2024-10-10T07:24:15Z,511,TypeScript,1136,249,359,9668,10027,0.964197
trimstray/the-book-of-secret-knowledge,208780,2018-06-23T10:43:14Z,2812,7.699,2024-11-19T14:00:38Z,471,,122,0,0,0,0,0.0
ossu/computer-science,202136,2014-05-04T00:18:39Z,4323,11.836,2026-03-04T01:29:26Z,1,HTML,305,0,12,654,666,0.981982
trekhleb/javascript-algorithms,195728,2018-03-24T07:47:04Z,2903,7.948,2026-02-18T09:20:06Z,15,JavaScript,304,0,138,233,371,0.628032
tensorflow/tensorflow,194010,2015-11-07T01:19:20Z,3771,10.324,2026-03-05T18:03:21Z,0,C++,42306,221,895,40300,41195,0.978274
ohmyzsh/ohmyzsh,185122,2009-08-28T18:15:37Z,6032,16.515,2026-03-04T08:28:48Z,1,Shell,3515,0,142,4891,5033,0.971786
getify/You-Dont-Know-JS,184460,2013-11-16T02:37:24Z,4492,12.298,2026-02-15T04:36:44Z,18,,370,0,0,949,949,1.0
CyC2018/CS-Notes,183818,2018-02-13T14:56:24Z,2942,8.055,2024-08-21T09:40:10Z,561,,374,0,129,449,578,0.776817
microsoft/vscode,182319,2015-09-03T20:23:38Z,3835,10.5,2026-03-05T18:02:47Z,0,TypeScript,43314,197,13391,218730,232121,0.94231
Significant-Gravitas/AutoGPT,182200,2023-03-16T09:21:07Z,1085,2.971,2026-03-05T18:03:58Z,0,Python,3964,94,234,3504,3738,0.9374
jackfrued/Python-100-Days,179310,2018-03-01T16:05:52Z,2926,8.011,2026-02-25T03:39:28Z,8,Jupyter Notebook,13,0,523,188,711,0.264416
n8n-io/n8n,177714,2019-06-22T09:24:21Z,2448,6.702,2026-03-05T17:55:15Z,0,TypeScript,14086,547,476,7739,8215,0.942057
flutter/flutter,175436,2015-03-06T22:54:58Z,4016,10.995,2026-03-05T16:47:10Z,0,Dart,46916,7,12169,100269,112438,0.891771
twbs/bootstrap,174023,2011-07-29T21:19:00Z,5332,14.598,2026-03-04T23:21:45Z,0,MDX,9113,94,395,22453,22848,0.982712
github/gitignore,172830,2010-11-08T20:17:14Z,5595,15.318,2026-02-12T17:50:51Z,21,,1727,0,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,167781,2020-01-12T23:03:34Z,2243,6.141,2026-02-22T00:26:42Z,11,Batchfile,5,29,2,906,908,0.997797
avelino/awesome-go,166626,2014-07-06T13:42:15Z,4260,11.663,2026-03-05T18:01:19Z,0,Go,3608,0,14,713,727,0.980743
ollama/ollama,164183,2023-06-26T19:39:32Z,982,2.689,2026-03-05T01:31:44Z,0,Go,3069,189,1987,7500,9487,0.790555
AUTOMATIC1111/stable-diffusion-webui,161504,2022-08-22T14:05:26Z,1291,3.535,2026-03-02T07:00:53Z,3,Python,1884,27,2399,5486,7885,0.695751
jlevy/the-art-of-command-line,160073,2015-05-20T15:11:03Z,3942,10.793,2024-06-25T18:13:44Z,617,,317,0,122,136,258,0.527132
huggingface/transformers,157439,2018-10-29T13:56:00Z,2684,7.348,2026-03-05T17:51:02Z,0,Python,18735,244,1075,17588,18663,0.942399
Snailclimb/JavaGuide,154054,2018-05-07T13:27:00Z,2859,7.828,2026-03-04T12:27:07Z,1,Java,1213,0,75,1056,1131,0.933687
DigitalPlatDev/FreeDomain,150827,2024-05-30T13:23:00Z,644,1.763,2026-03-02T19:54:24Z,2,HTML,1,0,0,0,0,0.0
f/prompts.chat,150130,2022-12-05T13:54:13Z,1186,3.247,2026-03-05T03:50:14Z,0,HTML,200,0,3,128,131,0.977099
yt-dlp/yt-dlp,149727,2020-10-26T04:22:55Z,1956,5.355,2026-03-03T16:54:37Z,2,Python,3229,131,1820,9303,11123,0.836375
airbnb/javascript,148093,2012-11-01T23:13:50Z,4871,13.336,2026-02-24T14:05:16Z,9,JavaScript,813,0,100,1299,1399,0.92852
langflow-ai/langflow,145276,2023-02-08T22:28:03Z,1120,3.066,2026-03-05T18:03:05Z,0,Python,5784,283,342,2818,3160,0.891772
521xueweihan/HelloGitHub,144884,2016-05-04T06:24:11Z,3592,9.834,2026-02-28T00:44:03Z,5,Python,17,63,282,2681,2963,0.904826
ytdl-org/youtube-dl,139798,2010-10-31T14:35:07Z,5604,15.343,2026-02-19T16:45:25Z,14,Python,1646,341,3629,23190,26819,0.864685
vercel/next.js,138164,2016-10-05T23:32:51Z,3437,9.41,2026-03-05T18:01:55Z,0,JavaScript,26132,1000,2053,22258,24311,0.915553
yangshun/tech-interview-handbook,137996,2016-07-05T05:00:48Z,3530,9.665,2026-01-26T00:36:45Z,38,TypeScript,486,0,44,76,120,0.633333
Genymobile/scrcpy,136527,2017-11-21T18:00:27Z,3026,8.285,2026-02-25T23:25:37Z,7,C,123,50,2674,3285,5959,0.551267
labuladong/fucking-algorithm,132917,2020-02-19T09:01:23Z,2206,6.04,2026-02-28T10:07:31Z,5,Markdown,244,0,1,962,963,0.998962
golang/go,132895,2014-08-19T04:33:40Z,4216,11.543,2026-03-05T16:49:12Z,0,Go,1,0,9439,60963,70402,0.865927
langgenius/dify,131330,2023-04-12T07:40:24Z,1058,2.897,2026-03-05T16:39:44Z,0,TypeScript,9711,158,410,16330,16740,0.975508
microsoft/PowerToys,130239,2019-05-01T17:44:02Z,2500,6.845,2026-03-05T17:52:07Z,0,C#,6347,127,8098,30144,38242,0.788243
langchain-ai/langchain,128355,2022-10-17T02:58:36Z,1235,3.381,2026-03-05T17:08:07Z,0,Python,16036,1000,243,8874,9117,0.973346
x1xhlol/system-prompts-and-models-of-ai-tools,128262,2025-03-05T16:38:29Z,365,0.999,2026-03-05T15:28:06Z,0,,46,0,81,108,189,0.571429
Chalarangelo/30-seconds-of-code,126955,2017-11-29T17:35:03Z,3018,8.263,2026-03-04T23:12:29Z,0,JavaScript,836,12,0,300,300,1.0
open-webui/open-webui,125857,2023-10-06T22:08:27Z,880,2.409,2026-03-04T23:14:13Z,0,Python,3313,152,185,7612,7797,0.976273
facebook/react-native,125504,2015-01-09T18:10:16Z,4072,11.149,2026-03-05T18:02:31Z,0,C++,957,444,748,26830,27578,0.972877
krahets/hello-algo,122683,2022-11-04T11:08:34Z,1217,3.332,2026-01-23T10:40:44Z,41,Java,968,10,8,274,282,0.971631
kubernetes/kubernetes,120939,2014-06-06T22:56:04Z,4289,11.743,2026-03-05T16:26:22Z,0,Go,63996,784,1847,46780,48627,0.962017
electron/electron,120316,2013-04-12T01:47:36Z,4710,12.895,2026-03-05T17:50:07Z,0,C++,24545,1000,738,20739,21477,0.965638
ripienaar/free-for-dev,118653,2015-03-18T21:06:26Z,4004,10.962,2026-03-04T10:34:00Z,1,HTML,2900,0,0,0,0,0.0
excalidraw/excalidraw,118082,2020-01-02T01:04:43Z,2254,6.171,2026-03-05T18:00:55Z,0,TypeScript,3838,14,2104,2539,4643,0.546845
anomalyco/opencode,116513,2025-04-30T20:08:00Z,308,0.843,2026-03-05T18:02:58Z,0,TypeScript,2581,727,4695,5080,9775,0.519693
justjavac/free-programming-books-zh_CN,116405,2013-11-04T01:59:19Z,4504,12.331,2024-07-15T08:55:20Z,598,,282,3,0,0,0,0.0
nodejs/node,116083,2014-11-26T19:57:11Z,4116,11.269,2026-03-05T17:34:15Z,0,JavaScript,11892,486,1756,18330,20086,0.912576
d3/d3,112466,2010-09-27T17:22:42Z,5638,15.436,2025-12-02T17:48:19Z,93,Shell,494,194,10,2229,2239,0.995534
iptv-org/iptv,112419,2018-11-14T22:00:57Z,2667,7.302,2026-03-05T00:17:10Z,0,TypeScript,6821,0,304,21436,21740,0.986017
mrdoob/three.js,111190,2010-03-23T18:58:01Z,5825,15.948,2026-03-05T13:30:40Z,0,JavaScript,15235,175,442,13065,13507,0.967276
rust-lang/rust,110911,2010-06-16T20:39:03Z,5740,15.715,2026-03-05T16:03:33Z,0,Rust,69550,146,11129,50469,61598,0.819329
rustdesk/rustdesk,108692,2020-09-28T15:36:08Z,1984,5.432,2026-03-05T15:10:40Z,0,Rust,3946,36,66,3934,4000,0.9835
axios/axios,108580,2014-08-18T22:30:27Z,4216,11.543,2026-03-05T04:28:36Z,0,JavaScript,1134,109,201,4757,4958,0.959459
microsoft/TypeScript,108021,2014-06-17T15:28:39Z,4279,11.715,2026-03-03T03:11:28Z,2,TypeScript,14857,214,4976,37982,42958,0.884166
Hack-with-Github/Awesome-Hacking,107778,2016-03-30T15:47:10Z,3627,9.93,2025-01-18T01:48:02Z,411,,34,0,0,0,0,0.0
shadcn-ui/ui,107759,2023-01-04T12:43:27Z,1156,3.165,2026-03-03T13:16:11Z,2,TypeScript,1007,75,982,2949,3931,0.750191
microsoft/generative-ai-for-beginners,107553,2023-06-19T16:28:59Z,990,2.71,2026-03-05T08:30:37Z,0,Jupyter Notebook,521,0,5,202,207,0.975845
godotengine/godot,107395,2014-01-04T16:05:36Z,4443,12.164,2026-03-05T13:53:22Z,0,C++,41424,66,12980,48296,61276,0.788172
GrowingGit/GitHub-Chinese-Top-Charts,106590,2019-09-05T03:01:56Z,2373,6.497,2024-10-12T06:51:36Z,509,Java,0,0,181,162,343,0.472303
denoland/deno,106307,2018-05-15T01:34:26Z,2851,7.806,2026-03-05T17:51:55Z,0,Rust,14295,368,2352,11602,13954,0.831446
goldbergyoni/nodebestpractices,105147,2017-09-15T08:33:19Z,3093,8.468,2025-04-15T21:52:42Z,323,Dockerfile,766,0,48,286,334,0.856287
Comfy-Org/ComfyUI,104946,2023-01-17T03:15:56Z,1143,3.129,2026-03-05T17:04:24Z,0,Python,2208,123,3455,4510,7965,0.566227
fatedier/frp,104904,2015-12-21T15:24:59Z,3727,10.204,2026-03-05T17:38:31Z,0,Go,734,109,37,4022,4059,0.990884
facebook/create-react-app,103828,2016-07-17T14:55:11Z,3518,9.632,2025-02-15T01:32:11Z,383,JavaScript,1949,83,1847,6574,8421,0.780667
papers-we-love/papers-we-love,103820,2013-12-15T14:31:41Z,4463,12.219,2026-02-22T13:38:07Z,11,Shell,439,0,2,246,248,0.991935
tauri-apps/tauri,103667,2019-07-13T09:09:37Z,2427,6.645,2026-03-05T07:19:51Z,0,Rust,5400,0,1257,4912,6169,0.796239
microsoft/terminal,102024,2017-08-11T18:38:22Z,3127,8.561,2026-03-05T17:00:27Z,0,C++,4378,146,1648,12169,13817,0.880727
deepseek-ai/DeepSeek-V3,101894,2024-12-26T09:52:40Z,434,1.188,2025-08-28T03:24:37Z,189,Python,25,1,42,679,721,0.941748
clash-verge-rev/clash-verge-rev,100601,2023-11-21T18:24:03Z,834,2.283,2026-03-05T11:19:30Z,0,TypeScript,751,62,165,4836,5001,0.967007
angular/angular,100072,2014-09-18T16:12:01Z,4186,11.461,2026-03-05T18:03:36Z,0,TypeScript,5672,609,998,29374,30372,0.967141
Shubhamsaboo/awesome-llm-apps,99806,2024-04-29T05:30:25Z,675,1.848,2026-03-02T07:16:17Z,3,Python,170,0,0,119,119,1.0
jaywcjlove/awesome-mac,99552,2016-07-17T15:33:47Z,3518,9.632,2026-03-04T19:59:59Z,0,JavaScript,1081,13,135,378,513,0.736842
supabase/supabase,98572,2019-10-12T05:56:49Z,2336,6.396,2026-03-05T18:00:13Z,0,TypeScript,15575,25,267,4973,5240,0.949046
Anduin2017/HowToCook,98537,2020-02-29T10:43:49Z,2196,6.012,2026-03-03T17:40:28Z,2,Dockerfile,614,4,463,364,827,0.440145
mtdvio/every-programmer-should-know,98181,2017-08-24T13:18:26Z,3115,8.528,2025-12-29T19:37:02Z,65,,110,0,14,31,45,0.688889
mui/material-ui,98005,2014-08-18T19:11:54Z,4216,11.543,2026-03-05T17:25:49Z,0,JavaScript,21489,558,1595,18753,20348,0.921614
pytorch/pytorch,97983,2016-08-13T05:26:41Z,3491,9.558,2026-03-05T18:04:04Z,0,Python,6428,64,16106,41032,57138,0.718121
2dust/v2rayN,97964,2019-07-30T03:47:24Z,2410,6.598,2026-03-05T01:51:48Z,0,C#,395,300,4,6592,6596,0.999394
ant-design/ant-design,97672,2015-04-24T15:37:24Z,3968,10.864,2026-03-05T16:05:44Z,0,TypeScript,17062,740,1287,31120,32407,0.960286
neovim/neovim,96962,2014-01-31T13:39:22Z,4416,12.09,2026-03-05T10:52:56Z,0,Vim Script,17730,48,1644,12106,13750,0.880436
ggml-org/llama.cpp,96780,2023-03-10T18:58:00Z,1090,2.984,2026-03-05T15:01:23Z,0,C++,7478,1000,438,6685,7123,0.938509
google-gemini/gemini-cli,96559,2025-04-17T17:04:31Z,322,0.882,2026-03-05T18:03:29Z,0,TypeScript,5262,392,2058,8681,10739,0.808362
