repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
GitHub-Chinese-Top-Charts,1,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hello-algo,215,7700,35.814,30.0,19.9949,1.8419,2.0,1.5017,0.0,11.0,1.0,1.0,0.0,1.0,1.0,4.707,1.0,10.4579,0.0,66.0
mall,760,100903,132.7671,31.5,261.2018,3.9408,3.0,4.9806,0.0,45.0,1.2395,1.0,0.4392,1.0,4.0,1110.8039,13.0,8155.5552,0.0,161554.0
advanced-java,1,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
java-design-patterns,1990,37970,19.0804,11.0,26.3112,3.3643,3.0,2.6125,0.0,22.0,1.196,1.0,0.5295,1.0,6.0,1.8276,0.0,6.3525,0.0,153.0
spring-boot,13944,410598,29.4462,11.0,61.8183,5.5047,4.0,6.4197,0.0,180.0,1.2909,1.0,0.7786,1.0,16.0,12.9365,0.0,108.3274,0.0,6443.0
Java,1771,72866,41.144,28.0,43.0876,2.0768,2.0,1.4732,0.0,14.0,1.0384,1.0,0.2597,1.0,7.0,11.205,1.0,37.1217,0.0,780.0
interviews,257,5622,21.8755,20.0,10.7402,1.3035,1.0,1.2814,0.0,7.0,1.0078,1.0,0.088,1.0,2.0,0.2918,0.0,0.9294,0.0,10.0
termux-app,321,24563,76.5202,31.0,153.4689,5.9128,4.0,7.1871,0.0,61.0,1.4299,1.0,0.7042,1.0,6.0,60.8255,0.0,236.3712,0.0,2045.0
LeetCodeAnimation,4,75,18.75,17.0,8.1803,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
spring-framework,18768,771963,41.1319,12.0,105.536,5.2247,3.0,6.7738,0.0,201.0,1.4611,1.0,1.3843,1.0,65.0,29.5087,0.0,274.1714,0.0,16653.0
guava,5974,250393,41.9138,10.0,118.6184,4.2514,2.0,5.7014,0.0,83.0,1.8719,1.0,2.3655,1.0,66.0,51.4325,0.0,460.8465,0.0,18721.0
jadx,3081,138367,44.9098,18.0,95.2543,4.4794,3.0,6.6217,0.0,90.0,1.6939,1.0,1.2698,1.0,21.0,32.2957,0.0,317.3018,0.0,10779.0
RxJava,11897,373337,31.3808,5.0,103.8501,2.3219,1.0,5.1347,0.0,241.0,1.3181,1.0,0.8856,1.0,26.0,47.8836,0.0,1822.9146,0.0,147153.0
JeecgBoot,911,55117,60.5016,16.0,155.6488,7.2613,4.0,9.4773,0.0,97.0,1.1767,1.0,0.4479,1.0,5.0,55.8705,0.0,362.7635,0.0,5215.0
MPAndroidChart,306,21111,68.9902,25.0,98.0478,8.8431,5.0,10.0066,0.0,45.0,1.9804,1.0,1.2306,1.0,6.0,91.0327,1.0,517.7972,0.0,6254.0
halo,1600,56037,35.0231,17.0,51.5997,7.7106,5.0,7.3085,0.0,58.0,1.2569,1.0,0.6528,1.0,8.0,7.6506,0.0,31.4004,0.0,546.0
NewPipe,504,38887,77.1567,26.0,151.0174,8.6647,5.0,10.6183,0.0,88.0,1.7183,1.0,1.1455,1.0,11.0,47.873,1.0,249.4014,0.0,4001.0
dubbo,4966,256285,51.6079,20.0,101.3247,5.4444,4.0,5.822,0.0,68.0,1.2926,1.0,0.7019,1.0,13.0,45.7807,1.0,435.1725,0.0,25518.0
arthas,1343,65589,48.8377,20.0,89.2501,4.6672,3.0,5.7926,0.0,52.0,1.3634,1.0,0.7549,1.0,14.0,30.1988,0.0,149.8698,0.0,3177.0
