name_with_owner,stars,primary_language,prs_merged,prs_closed,prs_total
codecrafters-io/build-your-own-x,493417,Markdown,155,186,341
sindresorhus/awesome,458262,,695,1659,2354
freeCodeCamp/freeCodeCamp,443436,TypeScript,28171,16598,44769
public-apis/public-apis,426028,Python,1872,1352,3224
EbookFoundation/free-programming-books,385918,Python,7359,4258,11617
openclaw/openclaw,362849,TypeScript,5744,25609,31353
kamranahmedse/developer-roadmap,353467,TypeScript,4164,1803,5967
donnemartin/system-design-primer,343840,Python,210,162,372
jwasham/coding-interview-university,341958,,415,597,1012
vinta/awesome-python,293998,Python,679,1688,2367
awesome-selfhosted/awesome-selfhosted,287740,,2394,645,3039
996icu/996.ICU,275925,,1072,919,1991
practical-tutorials/project-based-learning,263905,,182,198,380
facebook/react,244624,JavaScript,12829,6144,18973
TheAlgorithms/Python,220087,Python,3077,8286,11363
trimstray/the-book-of-secret-knowledge,216952,,122,118,240
vuejs/vue,209800,TypeScript,1136,1231,2367
ossu/computer-science,203201,HTML,313,198,511
trekhleb/javascript-algorithms,195868,JavaScript,304,271,575
tensorflow/tensorflow,194843,C++,44315,23876,68191
ohmyzsh/ohmyzsh,186413,Shell,3550,4082,7632
n8n-io/n8n,185297,TypeScript,15276,3698,18974
getify/You-Dont-Know-JS,184440,,370,527,897
CyC2018/CS-Notes,184253,,374,187,561
microsoft/vscode,184184,TypeScript,45964,7835,53799
Significant-Gravitas/AutoGPT,183689,Python,4277,3402,7679
jackfrued/Python-100-Days,181780,Jupyter Notebook,13,203,216
flutter/flutter,176094,Dart,47707,22761,70468
twbs/bootstrap,174194,MDX,9236,6769,16005
github/gitignore,173527,,1762,2898,4660
avelino/awesome-go,170807,Go,3701,1412,5113
ollama/ollama,169790,Go,3258,1305,4563
obra/superpowers,165480,Shell,59,422,481
affaan-m/everything-claude-code,165124,JavaScript,368,556,924
AUTOMATIC1111/stable-diffusion-webui,162562,Python,1876,1394,3270
jlevy/the-art-of-command-line,160757,,317,158,475
f/prompts.chat,160472,HTML,220,623,843
huggingface/transformers,159823,Python,19221,5573,24794
yt-dlp/yt-dlp,158282,Python,3266,909,4175
Snailclimb/JavaGuide,155181,Java,1235,332,1567
anomalyco/opencode,148253,TypeScript,3711,4385,8096
airbnb/javascript,148132,JavaScript,822,814,1636
langflow-ai/langflow,147298,Python,6171,2038,8209
ytdl-org/youtube-dl,140128,Python,1646,2865,4511
vercel/next.js,139109,JavaScript,26768,7988,34756
yangshun/tech-interview-handbook,138984,TypeScript,493,94,587
