"repo","url","stars","age_days","most_recent_activity","prs_opened","prs_merged","prs_closed_no_merge","prs_merge_rate","avg_pr_comments","avg_pr_reviews","avg_pr_commits","median_pr_cycle_hours","median_pr_first_response_hours","issues_opened","issues_closed","avg_issue_comments","median_issue_first_response_hours","unique_collaborators","avg_reviews_until_approval","has_policy","has_policy_bin","has_restrictive_language","policy_files","best_candidate_score","matched_ai_terms","candidate_count","evidence_group_count"
"freeCodeCamp/freeCodeCamp","https://github.com/freeCodeCamp/freeCodeCamp","443636","4141","2026-04-26T23:28:29Z","81","28368","16743","62.77217206585236","4.145833333333333","3.302083333333333","3.9895833333333335","151.29222222222222","6.2683333333333335","97","21336","2.208333333333333","6.489166666666667","135","2.9833333333333334","SEM política","0","","","","","",""
"public-apis/public-apis","https://github.com/public-apis/public-apis","426712","3689","2026-03-18T16:28:22Z","1358","1936","1395","41.28812113457027","0.4947368421052631","0.4526315789473684","1.1263157894736842","168.06916666666666","145.57944444444445","12","866","0.9310344827586208","62.61972222222222","181","1.1935483870967742","SEM política","0","","","","","",""
"EbookFoundation/free-programming-books","https://github.com/EbookFoundation/free-programming-books","386113","4580","2026-04-24T13:32:32Z","47","7368","4275","63.02822925577417","1.8229166666666667","0.4791666666666667","3.2916666666666665","11.704166666666667","3.104722222222222","35","1241","2.033333333333333","17.77638888888889","168","1.2222222222222223","SEM política","0","","","","","",""
"openclaw/openclaw","https://github.com/openclaw/openclaw","364713","153","2026-04-27T02:39:26Z","3497","8861","33957","19.13203065961352","3.25","1.0729166666666667","3.4166666666666665","2.1791666666666667","0.9127777777777778","3696","33656","2.302083333333333","69.57527777777777","204","2.0","COM política","1","true","CONTRIBUTING.md","4","AI-assisted; LLM; AI-generated","4","3"
"nilbuild/developer-roadmap","https://github.com/nilbuild/developer-roadmap","353707","3329","2026-04-26T17:07:20Z","5","4252","1830","69.85378675866602","0.7368421052631579","0.2526315789473684","2.673684210526316","22.034444444444443","17.724722222222223","3","3136","1.6702127659574468","100.65666666666668","200","1.0","SEM política","0","","","","","",""
"donnemartin/system-design-primer","https://github.com/donnemartin/system-design-primer","344673","3346","2026-03-20T01:52:19Z","297","210","163","31.343283582089555","0.9294117647058824","1.1647058823529413","2.670588235294117","38.88638888888889","229.8258333333333","250","122","4.467532467532467","229.4777777777778","349","1.7428571428571429","SEM política","0","","","","","",""
"facebook/react","https://github.com/facebook/react","244710","4720","2026-04-24T23:27:40Z","478","12855","6204","65.798229001382","2.770833333333333","1.8125","4.760416666666667","11.205833333333333","0.0013888888888888","828","13672","5.927083333333333","2.2841666666666667","264","1.8392857142857144","SEM política","0","","","","","",""
"TheAlgorithms/Python","https://github.com/TheAlgorithms/Python","220252","3571","2026-04-13T22:10:46Z","793","3077","8356","25.16767544577131","1.1041666666666667","1.6458333333333333","6.90625","6.929722222222222","0.9188888888888888","125","1601","3.467391304347826","2.714166666666667","225","3.1724137931034484","SEM política","0","","","","","",""
"ossu/computer-science","https://github.com/ossu/computer-science","203294","4376","2026-04-21T04:43:27Z","7","313","201","60.076775431861805","1.4390243902439024","0.0365853658536585","1.7560975609756098","2.6908333333333334","0.9822222222222222","15","658","10.188235294117646","3.244166666666666","247","1.0","SEM política","0","","","","","",""
"trekhleb/javascript-algorithms","https://github.com/trekhleb/javascript-algorithms","195877","2955","2026-02-18T09:20:06Z","266","304","274","36.018957345971565","0.8953488372093024","0.2441860465116279","1.9534883720930232","258.62333333333333","0.05","136","237","1.844155844155844","50.509166666666665","215","1.0","SEM política","0","","","","","",""
