repo,url,prs_opened,prs_closed,prs_merged,prs_closed_no_merge,issues_opened,issues_closed,prs_merge_rate,prs_closed_no_merge_rate,unique_collaborators,avg_pr_comments,avg_issue_comments,avg_pr_reviews,avg_pr_commits,median_pr_cycle_hours,mean_pr_cycle_hours,median_issue_first_response_hours,median_pr_first_response_hours,median_pr_first_review_hours,avg_reviews_until_approval,sampling_mode,sampling_strategy,sampling_method,pr_population_size,issue_population_size,pr_sample_size_target,issue_sample_size_target,pr_sample_size_actual,issue_sample_size_actual,pr_sampling_fraction,issue_sampling_fraction,confidence_level,margin_of_error,sample_size_formula,sample_window_days,sample_window_count,sampled_windows_prs,sampled_windows_issues,sampling_fallback_used,sample_limit_note
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,81,16743,28368,16743,97,21336,62.77217206585236,37.048592671269255,135,4.145833333333333,2.208333333333333,3.302083333333333,3.9895833333333335,151.29222222222222,447.252769005848,6.489166666666667,6.2683333333333335,31.22222222222222,2.9833333333333334,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,45192,21433,96,96,96,96,0.0021242697822623,0.0044790743246395,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2025-11-26..2025-12-26; 2019-05-02..2019-06-01; 2020-02-26..2020-03-27; 2019-05-02..2019-06-01,2025-11-26..2025-12-26; 2025-11-26..2025-12-26,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
public-apis/public-apis,https://github.com/public-apis/public-apis,1358,1395,1936,1395,12,866,41.28812113457027,29.75047984644913,181,0.4947368421052631,0.9310344827586208,0.4526315789473684,1.1263157894736842,168.06916666666666,1092.0582462686566,62.61972222222222,145.57944444444445,145.57944444444445,1.1935483870967742,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,4689,878,95,87,95,87,0.0202601834079761,0.0990888382687927,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2026-03-28..2026-04-27; 2020-02-28..2020-03-29; 2026-03-28..2026-04-27; 2020-02-28..2020-03-29; 2026-03-28..2026-04-27; 2022-02-17..2022-03-19,2026-04-27..2026-05-23; 2016-08-17..2016-09-16; 2018-03-10..2018-04-09; 2025-12-28..2026-01-27; 2020-08-26..2020-09-25; 2016-11-15..2016-12-15; 2026-01-27..2026-02-26; 2024-08-05..2024-09-04; 2026-04-27..2026-05-23; 2018-10-06..2018-11-05; 2019-04-04..2019-05-04; 2019-06-03..2019-07-03; 2016-03-20..2016-04-19; 2017-08-12..2017-09-11; 2017-12-10..2018-01-09; 2019-10-31..2019-11-30; 2016-05-19..2016-06-18; 2017-01-14..2017-02-13; 2024-03-08..2024-04-07,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,47,4275,7368,4275,35,1241,63.02822925577417,36.56971770744226,168,1.8229166666666667,2.033333333333333,0.4791666666666667,3.2916666666666665,11.704166666666667,224.65992397660816,17.77638888888889,3.104722222222222,6.344444444444444,1.2222222222222223,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,11690,1276,96,90,96,90,0.0082121471343028,0.0705329153605015,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2025-10-08..2025-11-07; 2018-04-18..2018-05-18; 2025-10-08..2025-11-07; 2018-04-18..2018-05-18; 2025-10-08..2025-11-07,2025-11-07..2025-12-07; 2020-11-03..2020-12-03; 2021-01-02..2021-02-01; 2024-05-16..2024-06-15; 2017-02-22..2017-03-24; 2025-11-07..2025-12-07; 2016-10-25..2016-11-24; 2026-02-05..2026-03-07; 2018-11-14..2018-12-14; 2018-06-17..2018-07-17; 2020-11-03..2020-12-03; 2020-02-07..2020-03-08; 2019-05-13..2019-06-12; 2023-10-19..2023-11-18; 2018-04-18..2018-05-18; 2017-11-19..2017-12-19,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
openclaw/openclaw,https://github.com/openclaw/openclaw,3497,33957,8861,33957,3696,33656,19.13203065961352,73.31749973010903,204,3.25,2.302083333333333,1.0729166666666667,3.4166666666666665,2.1791666666666667,17.91320848938826,69.57527777777777,0.9127777777777778,0.0875,2.0,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,46315,37352,96,96,96,96,0.002072762603908,0.0025701434996787,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2026-02-22..2026-03-24; 2025-12-24..2026-01-23; 2025-12-24..2026-01-23,2026-02-22..2026-03-24; 2026-02-22..2026-03-24,True,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,5,1830,4252,1830,3,3136,69.85378675866602,30.06407097092164,200,0.7368421052631579,1.6702127659574468,0.2526315789473684,2.673684210526316,22.034444444444443,606.2645921985817,100.65666666666668,17.724722222222223,13.194444444444445,1.0,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,6087,3139,95,94,95,94,0.0156070313783472,0.0299458426250398,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2017-03-15..2017-04-14; 2023-10-10..2023-11-09; 2017-03-15..2017-04-14; 2023-10-10..2023-11-09; 2017-06-13..2017-07-13; 2022-08-16..2022-09-15,2026-01-27..2026-02-26; 2018-06-08..2018-07-08; 2021-11-19..2021-12-19; 2020-07-27..2020-08-26; 2017-10-11..2017-11-10; 2018-10-06..2018-11-05; 2022-08-16..2022-09-15,True,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,297,163,210,163,250,122,31.343283582089555,24.328358208955223,349,0.9294117647058824,4.467532467532467,1.1647058823529413,2.670588235294117,38.88638888888889,3369.008327423169,229.4777777777778,229.8258333333333,234.23944444444444,1.7428571428571429,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,670,372,85,77,85,77,0.126865671641791,0.2069892473118279,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2019-04-17..2019-05-17; 2022-12-27..2023-01-26; 2024-11-16..2024-12-16; 2022-01-31..2022-03-02; 2023-02-25..2023-03-27; 2019-05-17..2019-06-16; 2024-07-19..2024-08-18; 2017-08-25..2017-09-24; 2018-07-21..2018-08-20; 2021-02-05..2021-03-07; 2025-10-12..2025-11-11; 2017-05-27..2017-06-26; 2024-05-20..2024-06-19; 2023-01-26..2023-02-25; 2020-02-11..2020-03-12; 2021-11-02..2021-12-02; 2019-01-17..2019-02-16; 2019-04-17..2019-05-17; 2019-02-16..2019-03-18; 2022-12-27..2023-01-26; 2024-11-16..2024-12-16; 2022-01-31..2022-03-02; 2023-02-25..2023-03-27; 2019-05-17..2019-06-16; 2018-03-23..2018-04-22; 2021-02-05..2021-03-07; 2017-10-24..2017-11-23; 2025-10-12..2025-11-11; 2019-01-17..2019-02-16; 2019-04-17..2019-05-17; 2019-02-16..2019-03-18; 2023-02-25..2023-03-27; 2019-05-17..2019-06-16; 2018-03-23..2018-04-22; 2017-08-25..2017-09-24; 2018-07-21..2018-08-20,2019-12-13..2020-01-12; 2025-01-15..2025-02-14; 2017-06-26..2017-07-26; 2023-03-27..2023-04-26; 2022-05-01..2022-05-31; 2025-10-12..2025-11-11; 2023-09-23..2023-10-23; 2020-01-12..2020-02-11; 2021-07-05..2021-08-04; 2021-05-06..2021-06-05; 2026-03-11..2026-04-10; 2025-02-14..2025-03-16; 2025-08-13..2025-09-12; 2023-04-26..2023-05-26; 2019-01-17..2019-02-16; 2020-05-11..2020-06-10; 2017-02-26..2017-03-28; 2024-03-21..2024-04-20; 2017-08-25..2017-09-24; 2020-12-07..2021-01-06; 2019-12-13..2020-01-12; 2025-01-15..2025-02-14; 2017-06-26..2017-07-26; 2023-03-27..2023-04-26; 2019-08-15..2019-09-14; 2025-10-12..2025-11-11; 2020-01-12..2020-02-11; 2021-05-06..2021-06-05; 2026-03-11..2026-04-10; 2025-08-13..2025-09-12; 2023-04-26..2023-05-26; 2020-05-11..2020-06-10,True,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
facebook/react,https://github.com/facebook/react,478,6204,12855,6204,828,13672,65.798229001382,31.755131289348416,264,2.770833333333333,5.927083333333333,1.8125,4.760416666666667,11.205833333333333,395.1650738770685,2.2841666666666667,0.0013888888888888,0.9627777777777776,1.8392857142857144,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,19537,14500,96,96,96,96,0.0049137533910016,0.0066206896551724,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2024-11-22..2024-12-22; 2024-11-22..2024-12-22; 2014-03-20..2014-04-19; 2024-11-22..2024-12-22,2026-03-17..2026-04-16; 2026-03-17..2026-04-16; 2018-08-26..2018-09-25,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,793,8356,3077,8356,125,1601,25.16767544577131,68.34614755439227,225,1.1041666666666667,3.467391304347826,1.6458333333333333,6.90625,6.929722222222222,337.9817685185185,2.714166666666667,0.9188888888888888,5.325,3.1724137931034484,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,12226,1726,96,92,96,92,0.0078521184361197,0.0533024333719582,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2025-07-29..2025-08-28; 2023-08-09..2023-09-08; 2018-06-06..2018-07-06; 2023-05-11..2023-06-10; 2023-08-09..2023-09-08,2023-05-11..2023-06-10; 2024-11-01..2024-12-01; 2025-09-27..2025-10-27; 2020-09-23..2020-10-23,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
ossu/computer-science,https://github.com/ossu/computer-science,7,201,313,201,15,658,60.076775431861805,38.57965451055662,247,1.4390243902439024,10.188235294117646,0.0365853658536585,1.7560975609756098,2.6908333333333334,131.51931412894385,3.244166666666666,0.9822222222222222,176.4425,1.0,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,521,673,82,85,82,85,0.1573896353166986,0.1263001485884101,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2026-04-01..2026-05-01; 2024-10-08..2024-11-07; 2016-04-23..2016-05-23; 2023-09-14..2023-10-14; 2026-04-01..2026-05-01; 2020-11-28..2020-12-28; 2021-09-24..2021-10-24; 2020-07-31..2020-08-30; 2024-09-08..2024-10-08; 2020-07-01..2020-07-31; 2015-12-25..2016-01-24; 2023-12-13..2024-01-12; 2016-12-19..2017-01-18; 2015-09-26..2015-10-26; 2024-10-08..2024-11-07; 2016-04-23..2016-05-23; 2023-09-14..2023-10-14; 2026-04-01..2026-05-01; 2020-11-28..2020-12-28; 2021-09-24..2021-10-24; 2020-07-31..2020-08-30; 2018-08-11..2018-09-10; 2018-01-13..2018-02-12; 2024-09-08..2024-10-08; 2020-07-01..2020-07-31; 2023-12-13..2024-01-12; 2016-12-19..2017-01-18; 2015-09-26..2015-10-26,2020-08-30..2020-09-29; 2024-08-09..2024-09-08; 2017-11-14..2017-12-14; 2018-06-12..2018-07-12; 2020-07-31..2020-08-30; 2021-02-26..2021-03-28; 2020-08-30..2020-09-29; 2016-08-21..2016-09-20; 2024-08-09..2024-09-08; 2024-09-08..2024-10-08; 2016-12-19..2017-01-18; 2015-10-26..2015-11-25; 2025-06-05..2025-07-05; 2024-05-11..2024-06-10; 2019-10-05..2019-11-04; 2015-05-29..2015-06-28; 2021-04-27..2021-05-27,False,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,266,274,304,274,136,237,36.018957345971565,32.46445497630332,215,0.8953488372093024,1.844155844155844,0.2441860465116279,1.9534883720930232,258.62333333333333,4608.029372605363,50.509166666666665,0.05,772.7119444444445,1.0,statistical,temporal-random,statistical_state_stratified_temporal_random_sample,844,373,87,77,86,77,0.1018957345971564,0.2064343163538874,0.95,0.1,Cochran conservative proportion formula with finite population correction,30,12,2024-07-20..2024-08-19; 2020-10-09..2020-11-08; 2025-10-13..2025-11-12; 2020-04-12..2020-05-12; 2018-10-20..2018-11-19; 2022-11-28..2022-12-28; 2018-09-20..2018-10-20; 2020-01-13..2020-02-12; 2025-11-12..2025-12-12; 2020-10-09..2020-11-08; 2020-04-12..2020-05-12; 2018-10-20..2018-11-19; 2022-11-28..2022-12-28; 2018-09-20..2018-10-20; 2024-08-19..2024-09-18; 2021-12-03..2022-01-02; 2020-10-09..2020-11-08; 2020-04-12..2020-05-12; 2018-10-20..2018-11-19; 2022-11-28..2022-12-28; 2018-09-20..2018-10-20; 2020-01-13..2020-02-12; 2022-05-02..2022-06-01; 2022-06-01..2022-07-01; 2021-12-03..2022-01-02,2024-04-21..2024-05-21; 2018-05-23..2018-06-22; 2018-08-21..2018-09-20; 2020-09-09..2020-10-09; 2019-11-14..2019-12-14; 2022-05-02..2022-06-01; 2022-10-29..2022-11-28; 2025-10-13..2025-11-12; 2023-05-27..2023-06-26; 2025-06-15..2025-07-15; 2021-04-07..2021-05-07; 2026-01-11..2026-02-10; 2021-03-08..2021-04-07; 2024-04-21..2024-05-21; 2018-05-23..2018-06-22; 2018-08-21..2018-09-20; 2025-09-13..2025-10-13; 2020-09-09..2020-10-09; 2019-11-14..2019-12-14; 2022-10-29..2022-11-28; 2023-05-27..2023-06-26; 2025-05-16..2025-06-15; 2020-06-11..2020-07-11; 2021-01-07..2021-02-06,True,"Detailed PR/issue metrics were estimated from a statistically calculated sample. In temporal-random mode, the script randomly selects creation-date windows across the repository lifetime and samples artifacts from those windows. This reduces recency bias compared with first-page sampling, but it is still an approximation because GitHub cursor/search limitations prevent direct uniform random sampling over all repository artifacts."
