repo_name,link,stars,most_recent_activity,age_days
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,443636,2026-04-26T23:28:29Z,4141
public-apis/public-apis,https://github.com/public-apis/public-apis,426712,2026-03-18T16:28:22Z,3689
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,386113,2026-04-24T13:32:32Z,4580
openclaw/openclaw,https://github.com/openclaw/openclaw,364713,2026-04-27T02:39:26Z,153
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,353707,2026-04-26T17:07:20Z,3329
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,344673,2026-03-20T01:52:19Z,3346
facebook/react,https://github.com/facebook/react,244710,2026-04-24T23:27:40Z,4720
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,220252,2026-04-13T22:10:46Z,3571
ossu/computer-science,https://github.com/ossu/computer-science,203294,2026-04-21T04:43:27Z,4376
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195877,2026-02-18T09:20:06Z,2955
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,194899,2026-04-27T02:32:34Z,3824
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,188614,2026-04-27T02:32:16Z,26
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186508,2026-04-26T12:52:33Z,6085
n8n-io/n8n,https://github.com/n8n-io/n8n,185714,2026-04-27T01:35:04Z,2500
microsoft/vscode,https://github.com/microsoft/vscode,184300,2026-04-27T02:35:00Z,3888
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183793,2026-04-26T23:37:49Z,1137
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,181900,2026-04-13T02:42:42Z,2978
flutter/flutter,https://github.com/flutter/flutter,176117,2026-04-27T02:05:10Z,4069
twbs/bootstrap,https://github.com/twbs/bootstrap,174207,2026-04-25T21:18:41Z,5385
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,173253,2026-04-17T19:03:42Z,2296
avelino/awesome-go,https://github.com/avelino/awesome-go,171089,2026-04-26T03:17:26Z,4312
ollama/ollama,https://github.com/ollama/ollama,170083,2026-04-26T23:00:44Z,1035
obra/superpowers,https://github.com/obra/superpowers,168652,2026-04-24T02:02:37Z,199
affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,167694,2026-04-26T04:53:53Z,99
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162629,2026-03-02T07:00:53Z,1343
f/prompts.chat,https://github.com/f/prompts.chat,160796,2026-04-26T22:16:34Z,1238
huggingface/transformers,https://github.com/huggingface/transformers,159958,2026-04-26T13:00:40Z,2736
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,158769,2026-04-19T21:37:26Z,2008
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,155237,2026-04-25T16:01:15Z,2911
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,153285,2026-04-01T16:16:13Z,3644
anomalyco/opencode,https://github.com/anomalyco/opencode,150051,2026-04-27T02:09:08Z,361
airbnb/javascript,https://github.com/airbnb/javascript,148130,2026-04-16T19:24:09Z,4924
langflow-ai/langflow,https://github.com/langflow-ai/langflow,147394,2026-04-27T00:48:17Z,1173
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140147,2026-02-19T16:45:25Z,5656
langgenius/dify,https://github.com/langgenius/dify,139249,2026-04-27T02:39:25Z,1110
vercel/next.js,https://github.com/vercel/next.js,139179,2026-04-27T02:33:48Z,3490
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,139058,2026-04-26T07:39:31Z,3078
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,139038,2026-04-05T23:58:25Z,3582
langchain-ai/langchain,https://github.com/langchain-ai/langchain,135028,2026-04-26T19:13:21Z,1287
open-webui/open-webui,https://github.com/open-webui/open-webui,134309,2026-04-24T10:07:14Z,933
golang/go,https://github.com/golang/go,133650,2026-04-26T15:43:54Z,4268
microsoft/PowerToys,https://github.com/microsoft/PowerToys,132051,2026-04-26T18:01:29Z,2552
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127590,2026-04-21T22:12:54Z,3070
facebook/react-native,https://github.com/facebook/react-native,125729,2026-04-26T09:59:39Z,4125
krahets/hello-algo,https://github.com/krahets/hello-algo,125688,2026-04-18T18:23:33Z,1269
anthropics/skills,https://github.com/anthropics/skills,124327,2026-04-23T17:07:20Z,216
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,122008,2026-04-26T11:19:04Z,2307
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,121950,2026-04-27T01:18:46Z,4342
electron/electron,https://github.com/electron/electron,121047,2026-04-27T00:38:48Z,4763
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,118572,2026-04-27T02:37:44Z,278
anthropics/claude-code,https://github.com/anthropics/claude-code,118202,2026-04-25T01:55:08Z,428
microsoft/markitdown,https://github.com/microsoft/markitdown,117470,2026-04-20T17:52:20Z,529
nodejs/node,https://github.com/nodejs/node,116923,2026-04-26T19:36:36Z,4169
iptv-org/iptv,https://github.com/iptv-org/iptv,115313,2026-04-27T00:26:43Z,2720
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,113670,2026-04-27T00:43:52Z,887
shadcn-ui/ui,https://github.com/shadcn-ui/ui,113047,2026-04-27T01:25:31Z,1208
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,112955,2026-04-27T00:31:35Z,2036
d3/d3,https://github.com/d3/d3,112801,2025-12-02T17:48:19Z,5690
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,112473,2026-04-26T08:01:36Z,741
rust-lang/rust,https://github.com/rust-lang/rust,112365,2026-04-27T02:37:52Z,5793
mrdoob/three.js,https://github.com/mrdoob/three.js,112191,2026-04-26T21:22:05Z,5878
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,110216,2026-04-26T16:39:49Z,1195
godotengine/godot,https://github.com/godotengine/godot,109995,2026-04-24T21:55:01Z,4495
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,109889,2026-04-26T18:42:41Z,1042
axios/axios,https://github.com/axios/axios,109032,2026-04-26T16:14:23Z,4269
microsoft/TypeScript,https://github.com/microsoft/TypeScript,108679,2026-04-27T00:55:00Z,4331
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,107665,2026-04-19T06:07:13Z,727
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,106787,2026-04-26T17:42:41Z,1143
denoland/deno,https://github.com/denoland/deno,106552,2026-04-26T19:27:33Z,2904
fatedier/frp,https://github.com/fatedier/frp,106118,2026-04-26T18:30:36Z,3779
tauri-apps/tauri,https://github.com/tauri-apps/tauri,105894,2026-04-27T02:30:16Z,2479
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,105633,2026-03-26T09:31:12Z,4515
2dust/v2rayN,https://github.com/2dust/v2rayN,103576,2026-04-26T11:25:28Z,2462
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,102928,2025-08-28T03:24:37Z,486
microsoft/terminal,https://github.com/microsoft/terminal,102921,2026-04-27T01:43:00Z,3180
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,102678,2026-04-22T07:02:38Z,3570
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,102474,2026-04-25T06:52:12Z,374
supabase/supabase,https://github.com/supabase/supabase,101466,2026-04-27T02:05:04Z,2388
angular/angular,https://github.com/angular/angular,100056,2026-04-24T22:58:24Z,4238
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,99656,2026-04-12T05:52:37Z,2248
pytorch/pytorch,https://github.com/pytorch/pytorch,99464,2026-04-27T02:40:07Z,3543
neovim/neovim,https://github.com/neovim/neovim,99122,2026-04-26T23:02:54Z,4468
immich-app/immich,https://github.com/immich-app/immich,98691,2026-04-27T00:09:23Z,1543
mui/material-ui,https://github.com/mui/material-ui,98238,2026-04-27T02:22:00Z,4269
ant-design/ant-design,https://github.com/ant-design/ant-design,97856,2026-04-27T02:34:38Z,4020
fastapi/fastapi,https://github.com/fastapi/fastapi,97675,2026-04-26T01:23:24Z,2696
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95680,2026-04-24T22:07:07Z,1993
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,94770,2026-04-26T22:20:55Z,3124
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,94197,2026-04-26T03:03:42Z,3274
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93954,2026-03-20T21:23:33Z,4278
nvm-sh/nvm,https://github.com/nvm-sh/nvm,93101,2026-04-24T18:05:27Z,5855
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,92336,2026-04-23T16:42:55Z,945
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,91522,2026-04-16T18:23:37Z,1008
github/spec-kit,https://github.com/github/spec-kit,91015,2026-04-24T21:04:05Z,248
browser-use/browser-use,https://github.com/browser-use/browser-use,90501,2026-04-26T16:59:07Z,542
storybookjs/storybook,https://github.com/storybookjs/storybook,89802,2026-04-24T22:14:21Z,3691
oven-sh/bun,https://github.com/oven-sh/bun,89360,2026-04-27T01:51:45Z,1839
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,88944,2026-04-26T21:55:18Z,5607
gin-gonic/gin,https://github.com/gin-gonic/gin,88383,2026-04-22T22:32:49Z,4332
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,87812,2025-12-02T17:05:02Z,1143
gohugoio/hugo,https://github.com/gohugoio/hugo,87788,2026-04-25T16:41:27Z,4679
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,87643,2026-04-26T05:04:19Z,4194
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,87405,2026-04-12T04:25:59Z,195
microsoft/playwright,https://github.com/microsoft/playwright,87379,2026-04-26T16:32:36Z,2354
